titulo,descricao,fonte,data_publicacao,regiao,query_busca
Nova escola aberta em Olinda,"Uma nova escola foi inaugurada no centro de Olinda, beneficiando centenas de estudantes.",G1,2025-07-24T08:30:00Z,Olinda,Olinda
Nova escola aberta em Olinda,"Uma nova escola foi inaugurada no centro de Olinda, beneficiando centenas de estudantes.",Folha,2025-07-23T09:15:00Z,Olinda,Olinda
Nova escola aberta em Olinda,"Uma nova escola foi inaugurada no centro de Olinda, beneficiando centenas de estudantes.",Diário de PE,2025-07-24T10:00:00Z,Olinda,Olinda
Hospital é inaugurado em Recife,Uma cerimônia marcou a inauguração de um novo hospital no bairro do Recife Antigo.,Blog do Mário,2025-07-25T12:00:00Z,Recife,Recife
Hospital é inaugurado em Recife,Uma cerimônia marcou a inauguração de um novo hospital no bairro do Recife Antigo.,G1,2025-07-26T08:00:00Z,Recife,Recife
Greve de ônibus termina em PE,"Após paralisação de 3 dias, o transporte público volta a funcionar normalmente em Pernambuco.",Folha,2025-07-23T14:00:00Z,Recife,PE
Greve de ônibus termina em PE,"Após paralisação de 3 dias, o transporte público volta a funcionar normalmente em Pernambuco.",G1,2025-07-23T15:00:00Z,Recife,PE
Mutirão de vacinação é realizado no Agreste,Campanha de vacinação mobiliza equipes em todas as cidades do Agreste pernambucano.,G1,2025-07-22T11:00:00Z,Agreste,Agreste
Candidato promete novas creches,"Em discurso, o candidato destacou a construção de 50 novas creches até o final do ano.",Folha,2025-07-25T09:00:00Z,Recife,Recife
Candidato promete novas creches,"Em discurso, o candidato destacou a construção de 50 novas creches até o final do ano.",G1,2025-07-24T10:30:00Z,Recife,Recife
